word,frequency
descried,22
deadly,22
dashed,22
centre,22
cause,22
beyond,22
beat,22
battle,22
answer,22
windward,21
Thats,21
terrible,21
talk,21
striking,21
spot,21
spare,21
shore,21
separate,21
rear,21
quickly,21
port,21
past,21
passing,21
original,21
officers,21
minutes,21
lord,21
lofty,21
Lakeman,21
hole,21
hair,21
gazing,21
formed,21
didnt,21
devils,21
decks,21
burst,21
break,21
bound,21
beheld,21
answered,21
alive,21
age,21
advance,21
winds,20
windlass,20
ways,20
These,20
terror,20
swung,20
swam,20
Stand,20
spring,20
somewhere,20
slightest,20
repeated,20
raised,20
Radney,20
prow,20
profound,20
Parsee,20
owing,20
outer,20
negro,20
needs,20
master,20
mainmast,20
magnitude,20
lowered,20
loose,20
lies,20
lad,20
invested,20
inches,20
important,20
heavens,20
hailed,20
gunwale,20
gigantic,20
forty,20
former,20
evinced,20
everything,20
distant,20
dim,20
died,20
dat,20
billows,20
besides,20
base,20
attached,20
aint,20
according,20
aboard,20
worse,19
whalers,19
vicinity,19
upwards,19
truly,19
tree,19
terrors,19
swim,19
swiftly,19
subject,19
stuff,19
step,19
state,19
Starbucks,19
solitary,19
sitting,19
sink,19
See,19
Sea,19
reached,19
rapidly,19
presented,19
precise,19
ordinary,19
oceans,19
Nantucketer,19
meet,19
Meantime,19
leaves,19
law,19
largest,19
laid,19
kings,19
king,19
jacket,19
IN,19
hunted,19
hollow,19
Hes,19
hast,19
hanging,19
Gutenberg,19
globe,19
game,19
Gabriel,19
floor,19
fain,19
eternal,19
empty,19
eight,19
Don,19
dignity,19
deeper,19
cruising,19
crews,19
concluded,19
casks,19
beginning,19
yes,18
yellow,18
wife,18
understand,18
trying,18
telling,18
South,18
sought,18
sorts,18
smoking,18
sleeping,18
shark,18
seized,18
seat,18
sake,18
ribs,18
revealed,18
regularly,18
quietly,18
prodigious,18
precious,18
places,18
period,18
observed,18
nameless,18
modern,18
merely,18
log,18
lips,18
leave,18
jolly,18
interest,18
intense,18
instance,18
inside,18
ice,18
horizon,18
Ha,18
guess,18
Good,18
Gods,18
gives,18
gentleman,18
French,18
follow,18
fight,18
fall,18
England,18
engaged,18
difference,18
content,18
chiefly,18
breeze,18
brave,18
books,18
BOOK,18
